section	source_ru	target
HUD / общий каркас	Уровень	
HUD / общий каркас	опасность	
HUD / общий каркас	Опыт	
HUD / общий каркас	Башня	
HUD / общий каркас	Блокнот	
HUD / общий каркас	⚔️ Поле боя	
HUD / общий каркас	Золото — игровые деньги	
HUD / общий каркас	Души — премиум-валюта	
HUD / общий каркас	Искры — для крафта 3 уровня	
Названия зданий башни	Покои героя	
Названия зданий башни	Лестница в Небо	
Названия зданий башни	Нижний мир	
Названия зданий башни	Арена	
Названия зданий башни	Мастерские	
Названия зданий башни	Лаборатории	
Названия зданий башни	Магазин	
Названия зданий башни	Академия	
Названия зданий башни	Барахолка	
Названия зданий башни	Таверна	
Названия зданий башни	Банк	
Названия зданий башни	Кланы	
Названия зданий башни	Чат мира	
Названия зданий башни	Гильдия магов	
Названия зданий башни	Совет старейшин	
Описания зданий	Экипировка, рюкзак, статы, дары дня и коллекция сетов.	
Описания зданий	Спуститься в миры и выбрать локацию для похода.	
Описания зданий	Города и шахты смертных: пассивная добыча ресурсов во времени (раздел GDD «нижний мир»).	
Описания зданий	Тренировочные бои с двойником ради опыта.	
Описания зданий	Переработка ресурсов и создание оружия, брони, бижутерии.	
Описания зданий	Эликсиры, зелья и мази.	
Описания зданий	Купить ресурсы и расходники за золото, продать трофеи.	
Описания зданий	База знаний об открытых мирах и статистика.	
Описания зданий	Торговля между игроками: выставляй лоты и покупай у других (раздел GDD «Барахолка»).	
Описания зданий	Азартные игры на золото: кости, напёрстки и лотерея (раздел GDD «Таверна»).	
Описания зданий	Обмен Душ на Золото и Искры (монетизация GDD).	
Описания зданий	Объедините полубогов в клан: общая казна и пассивный бонус всем участникам (раздел GDD «кланы»).	
Описания зданий	Общий живой чат всех полубогов.	
Описания зданий	Членство, ранги, улучшение и изучение заклинаний (раздел GDD «Гильдия магов»).	
Описания зданий	Журнал заданий — большая часть квестов берётся здесь.	
Вавилонская башня (хаб)	🏯 Вавилонская башня	
Вавилонская башня (хаб)	Цитадель порядка в хаосе. Полубоги обитают здесь, между нижним миром смертных и нестабильным верхним миром. Выберите помещение.	
Статы	Сила	
Статы	Ловкость	
Статы	Выносливость	
Статы	Интеллект	
Статы	Вера	
Статы	Ярость	
Статы	Удача	
Статы	Реакция	
Статы	Отражение	
Ресурсы	Волокно	
Ресурсы	Тонкая шкура	
Ресурсы	Толстая шкура	
Ресурсы	Бревно	
Ресурсы	Камень	
Ресурсы	Руда	
Ресурсы	Кость	
Ресурсы	Ромашка полевая	
Ресурсы	Мухомор	
Ресурсы	Пустынный песок	
Ресурсы	Слюда	
Ресурсы	Соль	
Ресурсы	Драгоценный камень	
Ресурсы	Древесный уголь	
Ресурсы	Доска	
Ресурсы	Кусок ткани	
Ресурсы	Кусок кожи	
Ресурсы	Металл	
Ресурсы	Чешуя дракона	
Ресурсы	Камень душ	
Ресурсы	Звёздный кристалл	
Ресурсы	Адская сталь	
Ресурсы	Магическая эссенция	
Ресурсы	Золото	
Ресурсы	Души	
Ресурсы	Искры	
Рарность	Обычный	
Рарность	Необычный	
Рарность	Редкий	
Рарность	Эпический	
Рарность	Легендарный	
Рарность	Мифический	
Стихии и направления	ветер	
Стихии и направления	вода	
Стихии и направления	огонь	
Стихии и направления	земля	
Стихии и направления	свет	
Стихии и направления	тьма	
Стихии и направления	сумрак	
Слова предметов/действий	урон	
Слова предметов/действий	урона	
Слова предметов/действий	броня	
Слова предметов/действий	усиление	
Слова предметов/действий	снимает яд	
Слова предметов/действий	немота	
Слова предметов/действий	р.	
Слова предметов/действий	каменная кожа	
Слова предметов/действий	конц.	
Слова предметов/действий	треб:	
Слова предметов/действий	надеть	
Слова предметов/действий	снять	
Слова предметов/действий	вернуть	
Слова предметов/действий	вернуть в арсенал	
Слова предметов/действий	в бою	
Слова предметов/действий	одолжить клану	
Слова предметов/действий	Арендовано	
Слова предметов/действий	аренда	
Слова предметов/действий	пусто	
Типы предметов	оружие	
Типы предметов	эликсир	
Типы предметов	зелье	
Типы предметов	мазь	
Типы предметов	усилитель	
Миры	Равнинный	
Миры	Лесной	
Миры	Подземный	
Миры	Горный	
Миры	Пустынный	
Миры	Болотный	
Миры	Водный	
Миры	Царство мёртвых	
Миры	Лавяной	
Миры	Горный пик / Небесный	
Миры	Ад	
Миры	Рай	
Предметы (крафт/магазин)	Кинжал	
Предметы (крафт/магазин)	Меч	
Предметы (крафт/магазин)	Топор	
Предметы (крафт/магазин)	Булава	
Предметы (крафт/магазин)	Копьё	
Предметы (крафт/магазин)	Лук	
Предметы (крафт/магазин)	Посох	
Предметы (крафт/магазин)	Метательный диск	
Предметы (крафт/магазин)	Тканевый шлем	
Предметы (крафт/магазин)	Роба	
Предметы (крафт/магазин)	Кожаный шлем	
Предметы (крафт/магазин)	Кожаный доспех	
Предметы (крафт/магазин)	Стальной шлем	
Предметы (крафт/магазин)	Латный нагрудник	
Предметы (крафт/магазин)	Большой щит	
Предметы (крафт/магазин)	Кольцо силы	
Предметы (крафт/магазин)	Амулет веры	
Предметы (крафт/магазин)	Серьги удачи	
Предметы (крафт/магазин)	Рунный клинок	
Предметы (крафт/магазин)	Посох некроманта	
Предметы (крафт/магазин)	Звёздный лук	
Предметы (крафт/магазин)	Адский молот	
Предметы (крафт/магазин)	Доспех дракона	
Предметы (крафт/магазин)	Мантия мага	
Предметы (крафт/магазин)	Шлем теней	
Предметы (крафт/магазин)	Амулет звёзд	
Предметы (крафт/магазин)	Кольцо дракона	
Предметы (крафт/магазин)	Серьги ада	
Предметы (крафт/магазин)	Эликсир жизни	
Предметы (крафт/магазин)	Эликсир маны	
Предметы (крафт/магазин)	Зелье яда	
Предметы (крафт/магазин)	Мазь силы	
Предметы (крафт/магазин)	Противоядие	
Предметы (крафт/магазин)	Зелье немоты	
Предметы (крафт/магазин)	Зелье каменной кожи	
Усилители (самоцветы)	Рубин	
Усилители (самоцветы)	Изумруд	
Усилители (самоцветы)	Оникс	
Усилители (самоцветы)	Сапфир	
Усилители (самоцветы)	Аметист	
Усилители (самоцветы)	Альмандин	
Усилители (самоцветы)	Цитрин	
Усилители (самоцветы)	Топаз	
Усилители (самоцветы)	Алмаз	
Сеты и их части	Звёздный аркан	
Сеты и их части	Посох звёздного аркана	
Сеты и их части	Венец звездочёта	
Сеты и их части	Мантия созвездий	
Сеты и их части	Амулет небосвода	
Сеты и их части	Перстень звездочёта	
