key_ru	en
Уровень	Level
опасность	danger
Опыт	XP
Башня	Tower
Блокнот	Notepad
⚔️ Поле боя	⚔️ Battlefield
Золото — игровые деньги	Gold — in-game money
Души — премиум-валюта	Souls — premium currency
Искры — для крафта 3 уровня	Sparks — for tier-3 crafting
Покои героя	Hero's Chambers
Лестница в Небо	Stairway to Heaven
Нижний мир	Lower World
Арена	Arena
Мастерские	Workshops
Лаборатории	Laboratory
Магазин	Shop
Академия	Academy
Барахолка	Marketplace
Таверна	Tavern
Банк	Bank
Кланы	Clans
Чат мира	World Chat
Гильдия магов	Mage Guild
Совет старейшин	Council of Elders
Экипировка, рюкзак, статы, дары дня и коллекция сетов.	Equipment, backpack, stats, daily gifts and set collection.
Спуститься в миры и выбрать локацию для похода.	Descend into the worlds and choose a location for an expedition.
Города и шахты смертных: пассивная добыча ресурсов во времени (раздел GDD «нижний мир»).	Cities and mines of mortals: passive resource gathering over time (GDD «lower world» section).
Тренировочные бои с двойником ради опыта.	Training fights with a double for experience.
Переработка ресурсов и создание оружия, брони, бижутерии.	Processing resources and crafting weapons, armor and jewelry.
Эликсиры, зелья и мази.	Elixirs, potions and balms.
Купить ресурсы и расходники за золото, продать трофеи.	Buy resources and consumables for gold, sell loot.
База знаний об открытых мирах и статистика.	Knowledge base on discovered worlds and statistics.
Торговля между игроками: выставляй лоты и покупай у других (раздел GDD «Барахолка»).	Trading between players: list lots and buy from others (GDD «Marketplace» section).
Азартные игры на золото: кости, напёрстки и лотерея (раздел GDD «Таверна»).	Gambling for gold: dice, thimbles and lottery (GDD «Tavern» section).
Обмен Душ на Золото и Искры (монетизация GDD).	Exchange Souls for Gold and Sparks (GDD monetization).
Объедините полубогов в клан: общая казна и пассивный бонус всем участникам (раздел GDD «кланы»).	Unite demigods into a clan: a shared treasury and a passive bonus for all members (GDD «clans» section).
Общий живой чат всех полубогов.	Shared live chat for all demigods.
Членство, ранги, улучшение и изучение заклинаний (раздел GDD «Гильдия магов»).	Membership, ranks, upgrading and learning spells (GDD «Mage Guild» section).
Журнал заданий — большая часть квестов берётся здесь.	Quest log — most quests are taken here.
🏯 Вавилонская башня	🏯 Tower of Babylon
Цитадель порядка в хаосе. Полубоги обитают здесь, между нижним миром смертных и нестабильным верхним миром. Выберите помещение.	A citadel of order amid chaos. Demigods dwell here, between the mortal Lower World and the unstable Upper World. Choose a room.
Сила	Strength
Ловкость	Agility
Выносливость	Endurance
Интеллект	Intellect
Вера	Faith
Ярость	Fury
Удача	Luck
Реакция	Reaction
Отражение	Reflection
Волокно	Fiber
Тонкая шкура	Thin Hide
Толстая шкура	Thick Hide
Бревно	Log
Камень	Stone
Руда	Ore
Кость	Bone
Ромашка полевая	Field Chamomile
Мухомор	Fly Agaric
Пустынный песок	Desert Sand
Слюда	Mica
Соль	Salt
Драгоценный камень	Gem
Древесный уголь	Charcoal
Доска	Plank
Кусок ткани	Cloth
Кусок кожи	Leather
Металл	Metal
Чешуя дракона	Dragon Scale
Камень душ	Soul Gem
Звёздный кристалл	Star Crystal
Адская сталь	Hell Steel
Магическая эссенция	Arcane Essence
Золото	Gold
Души	Souls
Искры	Sparks
Обычный	Common
Необычный	Uncommon
Редкий	Rare
Эпический	Epic
Легендарный	Legendary
Мифический	Mythic
ветер	air
вода	water
огонь	fire
земля	earth
свет	light
тьма	dark
сумрак	twilight
урон	dmg
урона	dmg
броня	armor
усиление	buff
снимает яд	cures poison
немота	silence
р.	r.
каменная кожа	stone skin
конц.	conc.
треб:	req:
надеть	equip
снять	remove
вернуть	return
вернуть в арсенал	return to armory
в бою	in combat
одолжить клану	lend to clan
Арендовано	Rented
аренда	rented
пусто	empty
оружие	weapon
